Date,Open_Price,High_Price,Low_Price,Close_Price,Adj_Close_Price,Volume
1/2/13,35,35.450001,34.709999,35.360001,35.360001,1194800
1/3/13,35.18,35.450001,34.75,34.77,34.77,742000
1/4/13,34.799999,34.799999,33.919998,34.400002,34.400002,674000
1/7/13,34.799999,34.799999,33.900002,34.34,34.34,442000
1/8/13,34.5,34.5,33.110001,33.68,33.68,1284000
1/9/13,34.009998,34.189999,33.400002,33.639999,33.639999,698000
1/10/13,33.869999,33.990002,33.380001,33.529999,33.529999,922500
1/11/13,34.040001,34.040001,32.110001,32.91,32.91,1563200
1/14/13,33.080002,33.380001,32.849998,33.259998,33.259998,925100
1/15/13,33.110001,34.25,33.080002,33.900002,33.900002,1624200
1/16/13,33.849998,34.23,33.73,34.099998,34.099998,1378200
1/17/13,34.16,34.849998,33.919998,34.380001,34.380001,1436700
1/18/13,34.740002,34.779999,33.82,34.52,34.52,3555100
1/22/13,34.560001,35.549999,34.259998,35.189999,35.189999,1920200
1/23/13,35.02,36.240002,34.959999,36,36,1564300
1/24/13,36,37.720001,35.84,36.990002,36.990002,1970400
1/25/13,37,37.540001,36.799999,36.98,36.98,1287800
1/28/13,36.860001,38.709999,36.860001,38.029999,38.029999,1986000
1/29/13,38.099998,38.439999,37.130001,37.950001,37.950001,1426600
1/30/13,37.849998,38,37.43,37.52,37.52,968100
1/31/13,37.869999,37.869999,36.93,37.509998,37.509998,901400
2/1/13,38.169998,38.5,37.619999,38.299999,38.299999,1100600
2/4/13,38.400002,38.419998,37.59,37.740002,37.740002,1128000
2/5/13,38,38.650002,37.68,38.130001,38.130001,1310200
2/6/13,38.18,39.389999,37.900002,39.169998,39.169998,1893200
2/7/13,39.189999,39.68,38.950001,39.48,39.48,1196600
2/8/13,39.450001,40,39.139999,39.240002,39.240002,1139800
2/11/13,37.98,39.150002,37.5,38.419998,38.419998,3266300
2/12/13,38.450001,38.869999,37.290001,37.889999,37.889999,2261300
2/13/13,38.299999,39,38.049999,38.450001,38.450001,966800
2/14/13,38.639999,38.75,38.209999,38.27,38.27,990700
2/15/13,38.5,38.509998,36.950001,37.040001,37.040001,2017600
2/19/13,37.360001,39.290001,37.310001,39.279999,39.279999,2701400
2/20/13,39.299999,39.650002,38.459999,38.540001,38.540001,3122000
2/21/13,36.490002,37.389999,34.540001,35.16,35.16,9037800
2/22/13,35.720001,36.389999,35.599998,36.110001,36.110001,2547300
2/25/13,36.150002,36.75,34.34,34.380001,34.380001,2889400
2/26/13,34.459999,34.959999,33.799999,34.43,34.43,2762900
2/27/13,34.41,35.41,34.400002,35.099998,35.099998,1959200
2/28/13,35.889999,36.099998,34.369999,34.830002,34.830002,1964900
3/1/13,35,35.080002,34.25,34.650002,34.650002,1546600
3/4/13,34.77,35.830002,34.700001,35.580002,35.580002,1757700
3/5/13,36,36.919998,35.790001,36.650002,36.650002,2087000
3/6/13,37.009998,37.880001,36.970001,37.689999,37.689999,1150000
3/7/13,37.73,38.650002,36.880001,38.23,38.23,1158300
3/8/13,38.060001,39.439999,37.360001,38.470001,38.470001,912100
3/11/13,38.869999,39.439999,38.650002,39.099998,39.099998,1579500
3/12/13,38.900002,39.380001,38.849998,39.119999,39.119999,1275100
3/13/13,39,39.490002,38.810001,38.98,38.98,822000
3/14/13,38.900002,38.91,36.77,36.849998,36.849998,2021000
3/15/13,36.639999,36.650002,35.209999,35.290001,35.290001,3279600
3/18/13,35.299999,36.060001,34.919998,35.150002,35.150002,1316100
3/19/13,35.25,35.599998,34.939999,35.080002,35.080002,1098500
3/20/13,35.259998,36.07,35.16,35.950001,35.950001,1423000
3/21/13,35.950001,37.060001,35.740002,36.009998,36.009998,1146300
3/22/13,36.200001,36.799999,36.200001,36.619999,36.619999,440200
3/25/13,37.099998,38.52,36.77,37.529999,37.529999,2378800
3/26/13,37.98,38.220001,37.66,37.860001,37.860001,1808200
3/27/13,37.939999,38.380001,37.310001,38.16,38.16,1296300
3/28/13,38.23,38.240002,37.75,37.889999,37.889999,1158700
4/1/13,42.360001,46.68,41.700001,43.93,43.93,14098500
4/2/13,43.599998,45.5,43.509998,44.34,44.34,6652400
4/3/13,43.099998,43.470001,40.209999,41.099998,41.099998,5643600
4/4/13,41.110001,42.25,40.810001,42.009998,42.009998,2264800
4/5/13,42,42,40.5,41.369999,41.369999,1552400
4/8/13,41.970001,42.549999,41.509998,41.830002,41.830002,1679000
4/9/13,41.799999,41.830002,40.330002,40.5,40.5,1696100
4/10/13,40.700001,42.009998,40.610001,41.860001,41.860001,2121100
4/11/13,42.060001,44.549999,41.75,43.59,43.59,3447400
4/12/13,43.25,45.139999,43.049999,43.75,43.75,3149400
4/15/13,43.5,43.799999,42.509998,43.299999,43.299999,1681400
4/16/13,44.189999,46.139999,43.91,45.59,45.59,3180400
4/17/13,45.5,45.950001,44.540001,45.450001,45.450001,2118500
4/18/13,45.98,47.599998,45.389999,46.970001,46.970001,3367900
4/19/13,47.459999,49.880001,47.07,47.830002,47.830002,3011700
4/22/13,48.599998,50.200001,47.75,50.189999,50.189999,3939400
4/23/13,51,52.919998,50.66,51.009998,51.009998,3733800
4/24/13,50.900002,51.049999,48.98,50.43,50.43,2630000
4/25/13,50.5,52.400002,50.5,52,52,2795900
4/26/13,53.130001,53.740002,50.619999,51.200001,51.200001,3622100
4/29/13,51.759998,54.990002,51.200001,54.939999,54.939999,3639700
4/30/13,56,58.18,53.759998,53.990002,53.990002,5522600
5/1/13,55.990002,55.990002,53,53.279999,53.279999,2742800
5/2/13,53.849998,55.27,53.700001,54.110001,54.110001,3050400
5/3/13,56.470001,56.470001,54.5,54.549999,54.549999,3378700
5/6/13,56.389999,59.66,55.5,59.5,59.5,4366700
5/7/13,62,62.369999,55.119999,55.509998,55.509998,9991000
5/8/13,57.5,58.200001,55.709999,55.790001,55.790001,6769900
5/9/13,70.120003,75.769997,63.689999,69.400002,69.400002,28605000
5/10/13,69.650002,81,69.25,76.760002,76.760002,25082600
5/13/13,80.989998,88,79.150002,87.800003,87.800003,22416900
5/14/13,94.220001,97.120003,81.150002,83.239998,83.239998,37163900
5/15/13,81.800003,86.879997,78.110001,84.839996,84.839996,16878700
5/16/13,94.699997,95,88.660004,92.25,92.25,21614000
5/17/13,92.5,94.440002,87.5,91.5,91.5,19002200
5/20/13,91.120003,92.5,88.629997,89.940002,89.940002,8348400
5/21/13,88.5,89.989998,85.279999,87.589996,87.589996,8998200
5/22/13,86.370003,90.959999,85.5,87.239998,87.239998,8568000
5/23/13,84.809998,93.010002,83.050003,92.730003,92.730003,12022200
5/24/13,92.599998,97.949997,92,97.080002,97.080002,16124200
5/28/13,101.550003,110.75,100.300003,110.330002,110.330002,19691900
5/29/13,113.550003,114.900002,99,104.629997,104.629997,25099500
5/30/13,102.459999,109.540001,101.199997,104.949997,104.949997,16133700
5/31/13,106.260002,106.440002,97.730003,97.760002,97.760002,15172000
6/3/13,97.620003,97.620003,88.25,92.589996,92.589996,19139600
6/4/13,92.75,96.419998,92.400002,94.839996,94.839996,8856100
6/5/13,93.660004,97.970001,89.110001,95.370003,95.370003,12224800
6/6/13,95.25,99.269997,95.110001,97.349998,97.349998,9510900
6/7/13,98,102.900002,96.699997,102.040001,102.040001,10711600
6/10/13,98.93,102.519997,98.57,100.050003,100.050003,9228600
6/11/13,98.18,98.68,94.050003,94.470001,94.470001,7394000
6/12/13,96.800003,100.480003,95.75,97.730003,97.730003,9192700
6/13/13,99,99.279999,95.120003,98.18,98.18,5961600
6/14/13,100,102.519997,99.330002,100.300003,100.300003,6564700
6/17/13,103.599998,104.75,101.199997,102.199997,102.199997,7066200
6/18/13,101.75,103.980003,99.199997,103.389999,103.389999,8795300
6/19/13,102.059998,106.669998,102.010002,104.68,104.68,8578900
6/20/13,104.650002,107.129997,99.449997,100.650002,100.650002,10106500
6/21/13,103.699997,103.699997,97.5,99.550003,99.550003,11718600
6/24/13,96.5,102.870003,95.300003,101.489998,101.489998,7119800
6/25/13,103.099998,104.199997,100.550003,102.400002,102.400002,5848700
6/26/13,103.800003,105.870003,102.660004,105.720001,105.720001,6602600
6/27/13,106.75,110.25,106.129997,109.25,109.25,8744900
6/28/13,108.57,109.440002,106.709999,107.360001,107.360001,5748600
7/1/13,109.360001,117.769997,109.150002,117.18,117.18,10903600
7/2/13,118.25,121.889999,115.5,117.82,117.82,12064100
7/3/13,118,119.25,114.269997,115.239998,115.239998,4806700
7/5/13,118.32,120.279999,115.699997,120.089996,120.089996,6818700
7/8/13,121.370003,122.18,118.82,121.610001,121.610001,7814200
7/9/13,124.639999,125.32,121.910004,123.449997,123.449997,8603300
7/10/13,123.190002,123.25,120.790001,122.269997,122.269997,5600100
7/11/13,124.879997,126.089996,122.349998,125.610001,125.610001,7483600
7/12/13,125.5,129.940002,124.510002,129.899994,129.899994,11344000
7/15/13,133.029999,133.259995,126.82,127.260002,127.260002,9922400
7/16/13,126.279999,126.32,107.300003,109.050003,109.050003,32371900
7/17/13,106.519997,121.620003,104.5,120.25,120.25,26029000
7/18/13,120.970001,122.730003,116.18,119.029999,119.029999,11398100
7/19/13,118.5,120.550003,116.510002,119.68,119.68,5890300
7/22/13,119.889999,126.68,119.879997,122.43,122.43,9797800
7/23/13,124,125.559998,121.82,122.739998,122.739998,7736400
7/24/13,124.470001,124.5,119.559998,121.699997,121.699997,6869000
7/25/13,120.400002,124.75,120.190002,124.07,124.07,5284300
7/26/13,128.139999,130.679993,126.610001,129.389999,129.389999,9633100
7/29/13,129.320007,135.369995,128.25,134.619995,134.619995,9678900
7/30/13,134.800003,137.490005,128.179993,131.740005,131.740005,13127000
7/31/13,132.570007,134.970001,131.449997,134.279999,134.279999,6351700
8/1/13,135,136.520004,132.630005,135.550003,135.550003,5323600
8/2/13,134.589996,138.25,133.610001,138,138,6269900
8/5/13,140.009995,144.889999,139.649994,144.679993,144.679993,10200700
8/6/13,144.75,145.729996,141.100006,142.149994,142.149994,9254500
8/7/13,141.889999,141.949997,132.360001,134.229996,134.229996,18212200
8/8/13,154.350006,158.880005,150.460007,153.479996,153.479996,27246800
8/9/13,152.399994,155.949997,151.25,153,153,8927700
8/12/13,149.429993,150.5,142.050003,147.380005,147.380005,14912200
8/13/13,149.5,149.839996,144.449997,145.429993,145.429993,8748900
8/14/13,142.720001,144.839996,138.050003,139.360001,139.360001,11693800
8/15/13,136.429993,143.600006,135,139.669998,139.669998,10179200
8/16/13,141.630005,143.910004,140.970001,142,142,7108100
8/19/13,143.429993,147.380005,142.830002,144.899994,144.899994,8037700
8/20/13,148.649994,149.779999,147,149.580002,149.580002,6418200
8/21/13,150,150.309998,146.25,147.860001,147.860001,6266300
8/22/13,149.220001,157.479996,148.139999,157.100006,157.100006,10592400
8/23/13,157,162.300003,155,161.839996,161.839996,12931900
8/26/13,165.149994,173,160.25,164.220001,164.220001,24171100
8/27/13,162.300003,168.800003,160.949997,167.009995,167.009995,17566900
8/28/13,169.059998,171.5,163.25,166.449997,166.449997,14740100
8/29/13,164.220001,167.75,162.509995,166.059998,166.059998,9436000
8/30/13,166.369995,169.210007,163.960007,169,169,11028400
9/3/13,173.399994,173.699997,166.399994,168.940002,168.940002,12061100
9/4/13,169.770004,171.619995,165.559998,170.619995,170.619995,11475700
9/5/13,170.100006,171.5,168.25,169.929993,169.929993,6685300
9/6/13,168.570007,169.699997,165.149994,166.970001,166.970001,8619700
9/9/13,163.119995,164.5,158.509995,160.699997,160.699997,14344500
9/10/13,161.449997,167.5,160.630005,166.369995,166.369995,8967800
9/11/13,166.410004,167.899994,162.130005,163.520004,163.520004,5832500
9/12/13,164,166.759995,160.509995,164.929993,164.929993,6160000
9/13/13,162.770004,166.369995,162.160004,165.539993,165.539993,5401200
9/16/13,168,170.850006,165.850006,166.580002,166.580002,7574900
9/17/13,165.080002,168.419998,163.360001,166.229996,166.229996,5496900
9/18/13,167.070007,167.449997,164.199997,166.220001,166.220001,5439700
9/19/13,170.800003,180.470001,169.080002,177.919998,177.919998,15594600
9/20/13,178.899994,185.830002,178.559998,183.389999,183.389999,13401700
9/23/13,184.479996,185.479996,177.110001,181.110001,181.110001,8173400
9/24/13,179.139999,184.960007,177.649994,182.330002,182.330002,6273400
9/25/13,183.559998,186.300003,180.5,185.240005,185.240005,8252700
9/26/13,186.699997,189.679993,185.610001,188.639999,188.639999,6614400
9/27/13,187.520004,191.279999,186.429993,190.899994,190.899994,5916400
9/30/13,189,194.5,188,193.369995,193.369995,8924700
10/1/13,193.960007,194.229996,188.369995,193,193,7755900
10/2/13,188.589996,191.830002,175.399994,180.949997,180.949997,20775400
10/3/13,175.050003,179.690002,168,173.309998,173.309998,23816500
10/4/13,176.399994,181.179993,172.649994,180.979996,180.979996,14414000
10/7/13,182.460007,186.729996,180.259995,183.070007,183.070007,11485600
10/8/13,184.399994,185.929993,173.210007,174.729996,174.729996,13757200
10/9/13,174.729996,174.990005,161.5,168.779999,168.779999,15316500
10/10/13,173.089996,175.75,169.690002,172.929993,172.929993,8883900
10/11/13,172.75,179.289993,171.199997,178.699997,178.699997,8311100
10/14/13,175,182.5,174.149994,179.720001,179.720001,7769600
10/15/13,185.279999,188.789993,183.179993,183.940002,183.940002,10978500
10/16/13,184.899994,187.300003,182.089996,183.559998,183.559998,8205400
10/17/13,183.539993,184.800003,180.990005,182.800003,182.800003,6705000
10/18/13,184.149994,185.960007,182.520004,183.399994,183.399994,5930800
10/21/13,183.279999,183.389999,171,172.600006,172.600006,11532100
10/22/13,170.5,177.779999,166.110001,171.539993,171.539993,11386700
10/23/13,168.910004,171.809998,160.149994,164.5,164.5,13320400
10/24/13,165,174.5,162.830002,173.149994,173.149994,10825700
10/25/13,174.210007,174.5,166.800003,169.660004,169.660004,7595500
10/28/13,170.179993,170.5,162.199997,162.860001,162.860001,7841700
10/29/13,162.759995,165.449997,153,164.470001,164.470001,14111700
10/30/13,164.630005,167.679993,158.169998,159.220001,159.220001,8401800
10/31/13,155.669998,162.440002,153.300003,159.940002,159.940002,9333800
11/1/13,163,165.899994,160.410004,162.169998,162.169998,7180600
11/4/13,165,175.389999,164.220001,175.199997,175.199997,13120400
11/5/13,180,181.429993,171.360001,176.809998,176.809998,22467100
11/6/13,154.809998,160.729996,146.350006,151.160004,151.160004,31071700
11/7/13,144.190002,145.649994,137.619995,139.770004,139.770004,22284700
11/8/13,136.479996,140.600006,132.320007,137.949997,137.949997,22477900
11/11/13,141,145.419998,137.100006,144.699997,144.699997,13997600
11/12/13,144.690002,144.699997,136.179993,137.800003,137.800003,14985200
11/13/13,140.839996,142.369995,136.339996,138.699997,138.699997,12658300
11/14/13,138.919998,140.399994,134.110001,137.600006,137.600006,12203700
11/15/13,136.850006,137.949997,134.350006,135.449997,135.449997,9900200
11/18/13,135.270004,135.449997,119.610001,121.580002,121.580002,23138200
11/19/13,119.43,129,119.220001,126.089996,126.089996,19816200
11/20/13,126.080002,127.449997,119.059998,121.110001,121.110001,13849600
11/21/13,122.889999,124.790001,120.25,122.099998,122.099998,11903800
11/22/13,121.580002,122.75,117.93,121.379997,121.379997,11096700
11/25/13,124.5,125.839996,120.300003,120.839996,120.839996,10267300
11/26/13,119.379997,122.720001,116.099998,120.5,120.5,13885500
11/27/13,121.309998,126.949997,119.519997,126.940002,126.940002,12367600
11/29/13,129.770004,130.589996,126.980003,127.279999,127.279999,9716200
12/2/13,126.349998,128.550003,123.93,124.169998,124.169998,7751200
12/3/13,132.679993,144.940002,131.589996,144.699997,144.699997,25682400
12/4/13,144.320007,144.429993,137.130005,138.949997,138.949997,13147700
12/5/13,140.149994,143.350006,139.5,140.479996,140.479996,9288400
12/6/13,141.509995,142.490005,136.300003,137.360001,137.360001,7909600
12/9/13,137,141.699997,134.210007,141.600006,141.600006,9061500
12/10/13,140.050003,145.869995,139.860001,142.190002,142.190002,10748200
12/11/13,141.880005,143.050003,139.490005,139.649994,139.649994,7137800
12/12/13,139.699997,148.240005,138.529999,147.470001,147.470001,10767800
12/13/13,148.050003,151.800003,147.320007,147.649994,147.649994,10591900
12/16/13,148.479996,150.429993,146.100006,147.940002,147.940002,6675300
12/17/13,147.580002,154.630005,146.320007,152.460007,152.460007,10495000
12/18/13,152.240005,154.899994,145.949997,147.979996,147.979996,11581900
12/19/13,146.899994,147,139.100006,140.720001,140.720001,12740000
12/20/13,141.580002,144.350006,141.580002,143.240005,143.240005,7412600
12/23/13,144.850006,146.240005,142.600006,143.550003,143.550003,5385500
12/24/13,150,154.970001,149.820007,151.410004,151.410004,9941500
12/26/13,155.039993,158,154.289993,155.5,155.5,7129500
12/27/13,155.300003,155.5,150.800003,151.119995,151.119995,5460200
12/30/13,151.119995,154.809998,150.75,152.440002,152.440002,4467500
12/31/13,152.320007,153.199997,148.660004,150.429993,150.429993,4262400
1/2/14,149.800003,152.479996,146.550003,150.100006,150.100006,6188400
1/3/14,150,152.190002,148.600006,149.559998,149.559998,4695000
1/6/14,150,150.399994,145.240005,147,147,5361100
1/7/14,147.619995,150.399994,145.25,149.360001,149.360001,5034100
1/8/14,148.850006,153.699997,148.759995,151.279999,151.279999,6163200
1/9/14,152.5,153.429993,146.850006,147.529999,147.529999,5382000
1/10/14,148.460007,148.899994,142.25,145.720001,145.720001,7446100
1/13/14,145.779999,147,137.820007,139.339996,139.339996,6316100
1/14/14,140.5,162,136.669998,161.270004,161.270004,27607000
1/15/14,168.449997,172.229996,162.100006,164.130005,164.130005,20465600
1/16/14,162.5,172.699997,162.399994,170.970001,170.970001,11959400
1/17/14,170.190002,173.199997,167.949997,170.009995,170.009995,9206200
1/21/14,171.240005,177.289993,170.809998,176.679993,176.679993,9734700
1/22/14,177.809998,180.320007,174.759995,178.559998,178.559998,7022600
1/23/14,177.229996,182.380005,173.419998,181.5,181.5,7867400
1/24/14,177.850006,180.479996,173.529999,174.600006,174.600006,7664300
1/27/14,175.160004,177.919998,164.710007,169.619995,169.619995,8716400
1/28/14,171.5,178.979996,171,178.380005,178.380005,6093400
1/29/14,175.300003,179.089996,173.130005,175.229996,175.229996,5935500
1/30/14,178,184.779999,177.009995,182.839996,182.839996,8565000
1/31/14,178.850006,186,178.509995,181.410004,181.410004,6508800
2/3/14,182.889999,184.880005,175.160004,177.110001,177.110001,6764900
2/4/14,180.699997,181.600006,176.199997,178.729996,178.729996,4686300
2/5/14,178.300003,180.589996,169.360001,174.419998,174.419998,7268000
2/6/14,176.300003,180.110001,176,178.380005,178.380005,5841600
2/7/14,181.009995,186.630005,179.600006,186.529999,186.529999,8928500
2/10/14,189.339996,199.300003,189.320007,196.559998,196.559998,12970700
2/11/14,198.970001,202.199997,192.699997,196.619995,196.619995,10709900
2/12/14,195.779999,198.270004,194.320007,195.320007,195.320007,5173700
2/13/14,193.339996,202.720001,193.25,199.630005,199.630005,8029300
2/14/14,198.100006,201.880005,197,198.229996,198.229996,6158000
2/18/14,205.240005,206,201.360001,203.699997,203.699997,9332800
2/19/14,203.699997,203.699997,193.410004,193.639999,193.639999,16169000
2/20/14,215.009995,215.210007,206.270004,209.970001,209.970001,18002300
2/21/14,211.639999,213.979996,209.190002,209.600006,209.600006,7818800
2/24/14,208.759995,218.360001,208.320007,217.649994,217.649994,8278400
2/25/14,230,259.200012,228.449997,248,248,32681700
2/26/14,258.579987,265,247.5,253,253,24604600
2/27/14,261.25,261.899994,248.330002,252.539993,252.539993,17945800
2/28/14,249.649994,252.679993,242.550003,244.809998,244.809998,14589800
3/3/14,237.259995,251.649994,234.990005,250.559998,250.559998,13089300
3/4/14,258.480011,260,252.830002,254.839996,254.839996,8745600
3/5/14,256.720001,256.98999,251.800003,252.660004,252.660004,5935700
3/6/14,254.139999,257.5,249.449997,252.940002,252.940002,7361100
3/7/14,252.940002,254.850006,244.410004,246.210007,246.210007,7812300
3/10/14,242.699997,243,236.059998,238.839996,238.839996,7728100
3/11/14,236.5,244.600006,232.429993,234.410004,234.410004,8810100
3/12/14,231.5,247.5,231.110001,241.490005,241.490005,9754400
3/13/14,243.789993,244.190002,234,237.789993,237.789993,6236300
3/14/14,235.289993,236.940002,228.320007,230.970001,230.970001,8289700
3/17/14,234.949997,237.929993,230.5,233.979996,233.979996,5912600
3/18/14,236.949997,241.5,235.020004,240.039993,240.039993,6242300
3/19/14,241.389999,241.550003,233.509995,235.839996,235.839996,5071300
3/20/14,236.160004,239.25,233.360001,234.910004,234.910004,3817900
3/21/14,236.020004,236.199997,227.5,228.889999,228.889999,8216900
3/24/14,229.75,229.899994,210.270004,220.169998,220.169998,11328800
3/25/14,224.139999,227.050003,217.899994,220.440002,220.440002,7865400
3/26/14,221.949997,222.600006,211.350006,212.960007,212.960007,6907300
3/27/14,212.369995,213.600006,203,207.320007,207.320007,9495700
3/28/14,212.800003,216.720001,210.270004,212.369995,212.369995,9684800
3/31/14,216.5,216.75,206.389999,208.449997,208.449997,8380000
4/1/14,209.020004,218.160004,208.580002,216.970001,216.970001,7371400
4/2/14,220,230.889999,218.050003,230.289993,230.289993,10782300
4/3/14,230.300003,235.729996,222,225.399994,225.399994,10923700
4/4/14,226.009995,228.270004,211.25,212.229996,212.229996,11345600
4/7/14,205.809998,216.199997,203.509995,207.520004,207.520004,9855500
4/8/14,210.050003,216.490005,206.419998,215.460007,215.460007,6889300
4/9/14,216.759995,218.449997,210.889999,216.929993,216.929993,5157900
4/10/14,216.820007,217.5,203.789993,204.190002,204.190002,7211500
4/11/14,200.610001,207,198.600006,203.779999,203.779999,9067200
4/14/14,207.600006,208.440002,194.410004,198.089996,198.089996,7703000
4/15/14,199.089996,199.289993,184.320007,193.910004,193.910004,13659300
